Tamano,Algoritmo,Tipo Lista,Repeticiones,Promedio (s),Desviacion Std (s)
100,Bubble Sort,Aleatoria,5,0.00031422001775354146,3.896242441910071e-05
100,Bubble Sort,Invertida,5,0.00041689998470246793,1.700631630926333e-05
100,QuickSort,Aleatoria,5,9.437997359782458e-05,1.4804307024400067e-05
100,QuickSort,Invertida,5,8.061996195465326e-05,3.851059923773405e-05
1000,Bubble Sort,Aleatoria,5,0.03291895999573171,0.006763810644586966
1000,Bubble Sort,Invertida,5,0.043105260003358126,0.011649509746539007
1000,QuickSort,Aleatoria,5,0.0008854200132191181,3.546599244246894e-05
1000,QuickSort,Invertida,5,0.0006250799866393209,5.007480085778911e-05
5000,Bubble Sort,Aleatoria,5,0.8568866399815306,0.026056246846877577
5000,Bubble Sort,Invertida,5,1.0577432799851523,0.0407754851044705
5000,QuickSort,Aleatoria,5,0.005522059975191951,0.0005286354846561503
5000,QuickSort,Invertida,5,0.003564640018157661,0.0003238563202623179
10000,Bubble Sort,Aleatoria,5,3.6144886800087987,0.16470911009131903
10000,Bubble Sort,Invertida,5,4.451552720018663,0.14318244200057403
10000,QuickSort,Aleatoria,5,0.015287939994595944,0.0017293842362214517
10000,QuickSort,Invertida,5,0.009497579978778958,0.0016517916031316864
